,participant_id,status,main_vehicle,topic,response
4649,3246,student,train-short,future,-1
4650,3247,student,car-driver,present,-1
4651,3247,student,car-driver,future,-1
4652,3248,niwi,car-driver,present,no_opinion
4653,3248,niwi,car-driver,future,no_opinion
4654,3249,student,bus,present,1
4655,3249,student,bus,future,0
4656,3250,wimi,bus,present,0
4657,3250,wimi,bus,future,0
4658,3251,niwi,car-driver,present,no_answer
4659,3251,niwi,car-driver,future,no_answer
4660,3252,niwi,bus,present,2
4661,3252,niwi,bus,future,0
4662,3253,student,bus,present,1
4663,3253,student,bus,future,1
4664,3255,student,bus,present,2
4665,3255,student,bus,future,-2
4666,3256,student,bicycle,present,2
4667,3256,student,bicycle,future,no_opinion
4668,3258,student,walk,present,2
4669,3258,student,walk,future,0
4670,3259,student,train-far,present,-2
4671,3259,student,train-far,future,1
4672,3261,student,car-driver,present,-1
4673,3261,student,car-driver,future,0
4674,3262,student,walk,present,2
4675,3262,student,walk,future,-2
4676,3263,student,train-far,present,2
4677,3263,student,train-far,future,0
4678,3264,student,,present,2
4679,3264,student,,future,0
4680,3265,niwi,car-driver,present,-2
4681,3265,niwi,car-driver,future,-1
4682,3266,student,bus,present,2
4683,3266,student,bus,future,no_opinion
4684,3267,other,car-driver,present,1
4685,3267,other,car-driver,future,0
4686,3268,student,bus,present,2
4687,3268,student,bus,future,-1
4688,3269,student,train-short,present,2
4689,3269,student,train-short,future,-2
4690,3270,student,bus,present,2
4691,3270,student,bus,future,1
4692,3271,niwi,car-driver,present,-1
4693,3271,niwi,car-driver,future,0
4694,3273,niwi,car-driver,present,-1
4695,3273,niwi,car-driver,future,-1
4696,3274,wimi,bus,present,2
4697,3274,wimi,bus,future,1
4698,3275,niwi,bicycle,present,2
4699,3275,niwi,bicycle,future,no_opinion
4700,3276,wimi,car-driver,present,-2
4701,3276,wimi,car-driver,future,0
4702,3277,student,train-short,present,1
4703,3277,student,train-short,future,0
4704,3278,wimi,car-driver,present,1
4705,3278,wimi,car-driver,future,2
4706,3279,student,bus,present,0
4707,3279,student,bus,future,0
4708,3280,student,bus,present,2
4709,3280,student,bus,future,2
4710,3281,student,bicycle,present,1
4711,3281,student,bicycle,future,0
4712,3282,student,bus,present,1
4713,3282,student,bus,future,0
4714,3283,wimi,train-short,present,1
4715,3283,wimi,train-short,future,0
4716,3284,student,bus,present,1
4717,3284,student,bus,future,0
4718,3285,student,train-short,present,2
4719,3285,student,train-short,future,-2
4720,3286,student,train-far,present,1
4721,3286,student,train-far,future,-1
4722,3288,student,train-short,present,1
4723,3288,student,train-short,future,0
4724,3290,wimi,ebike,present,2
4725,3290,wimi,ebike,future,no_opinion
4726,3291,student,bicycle,present,2
4727,3291,student,bicycle,future,no_opinion
4728,3293,student,bicycle,present,2
4729,3293,student,bicycle,future,-1
4730,3294,student,walk,present,2
4731,3294,student,walk,future,no_opinion
4732,3295,student,bicycle,present,2
4733,3295,student,bicycle,future,-2
4734,3296,student,bicycle,present,2
4735,3296,student,bicycle,future,-2
4736,3297,niwi,car-driver,present,no_opinion
4737,3297,niwi,car-driver,future,-2
4738,3298,niwi,car-driver,present,-2
4739,3298,niwi,car-driver,future,-1
4740,3301,student,bicycle,present,2
4741,3301,student,bicycle,future,-2
4742,3304,student,train-short,present,2
4743,3304,student,train-short,future,no_opinion
4744,3305,student,bicycle,present,2
4745,3305,student,bicycle,future,-1
4746,3306,student,car-driver,present,1
4747,3306,student,car-driver,future,no_opinion
4748,3307,student,bus,present,2
4749,3307,student,bus,future,-2
4750,3308,student,bus,present,2
4751,3308,student,bus,future,-1
4752,3309,student,bicycle,present,2
4753,3309,student,bicycle,future,no_opinion
4754,3311,student,bus,present,2
4755,3311,student,bus,future,-2
4756,3314,wimi,train-short,present,2
4757,3314,wimi,train-short,future,-2
4758,3315,student,bus,present,1
4759,3315,student,bus,future,1
4760,3316,wimi,bus,present,2
4761,3316,wimi,bus,future,0
4762,3319,student,walk,present,2
4763,3319,student,walk,future,0
4764,3321,student,bus,present,2
4765,3321,student,bus,future,no_opinion
4766,3322,student,car-driver,present,1
4767,3322,student,car-driver,future,0
4768,3323,student,bus,present,1
4769,3323,student,bus,future,0
4770,3324,student,car-driver,present,-1
4771,3324,student,car-driver,future,-1
4772,3327,student,bicycle,present,1
4773,3327,student,bicycle,future,0
4774,3328,student,train-short,present,1
4775,3328,student,train-short,future,-2
4776,3330,student,,present,1
4777,3330,student,,future,no_opinion
4778,3331,student,bus,present,2
4779,3331,student,bus,future,no_opinion
4780,3332,niwi,bus,present,2
4781,3332,niwi,bus,future,-2
4782,3335,student,bus,present,1
4783,3335,student,bus,future,1
4784,3336,student,train-short,present,1
4785,3336,student,train-short,future,1
4786,3337,student,train-short,present,2
4787,3337,student,train-short,future,-1
4788,3338,student,bicycle,present,1
4789,3338,student,bicycle,future,no_opinion
4790,3339,student,train-short,present,1
4791,3339,student,train-short,future,-1
4792,3340,student,car-driver,present,2
4793,3340,student,car-driver,future,-2
4794,3341,wimi,bicycle,present,2
4795,3341,wimi,bicycle,future,0
4796,3342,student,train-short,present,0
4797,3342,student,train-short,future,-2
4798,3343,student,train-short,present,1
4799,3343,student,train-short,future,no_opinion
4800,3344,student,walk,present,1
4801,3344,student,walk,future,0
4802,3348,student,car-driver,present,0
4803,3348,student,car-driver,future,-2
4804,3349,student,car-driver,present,-1
4805,3349,student,car-driver,future,1
4806,3350,student,train-short,present,2
4807,3350,student,train-short,future,0
4808,3351,student,bus,present,2
4809,3351,student,bus,future,-1
4810,3352,student,bus,present,1
4811,3352,student,bus,future,-1
4812,3353,student,train-short,present,1
4813,3353,student,train-short,future,no_opinion
4814,3354,student,bus,present,2
4815,3354,student,bus,future,no_opinion
4816,3355,student,bicycle,present,2
4817,3355,student,bicycle,future,-2
4818,3357,wimi,bicycle,present,2
4819,3357,wimi,bicycle,future,-2
4820,3358,student,bus,present,1
4821,3358,student,bus,future,-1
4822,3359,student,walk,present,2
4823,3359,student,walk,future,no_opinion
4824,3360,student,bicycle,present,2
4825,3360,student,bicycle,future,no_opinion
4826,3361,student,car-driver,present,-1
4827,3361,student,car-driver,future,-1
4828,3362,student,,present,1
4829,3362,student,,future,-1
4830,3363,student,bus,present,1
4831,3363,student,bus,future,-1
4832,3364,student,bicycle,present,1
4833,3364,student,bicycle,future,-1
4834,3369,student,bicycle,present,2
4835,3369,student,bicycle,future,0
4836,3371,student,train-short,present,2
4837,3371,student,train-short,future,-1
4838,3372,student,bus,present,2
4839,3372,student,bus,future,no_opinion
4840,3373,student,car-passenger,present,1
4841,3373,student,car-passenger,future,0
4842,3374,student,train-far,present,2
4843,3374,student,train-far,future,0
4844,3376,wimi,bus,present,0
4845,3376,wimi,bus,future,0
4846,3377,student,bicycle,present,2
4847,3377,student,bicycle,future,0
4848,3379,student,train-short,present,2
4849,3379,student,train-short,future,no_answer
4850,3380,student,car-passenger,present,-1
4851,3380,student,car-passenger,future,1
4852,3381,student,bicycle,present,2
4853,3381,student,bicycle,future,-2
4854,3384,student,bicycle,present,2
4855,3384,student,bicycle,future,-1
4856,3385,student,,present,1
4857,3385,student,,future,-1
4858,3386,student,car-driver,present,0
4859,3386,student,car-driver,future,-1
4860,3387,student,bus,present,2
4861,3387,student,bus,future,0
4862,3393,student,train-short,present,no_answer
4863,3393,student,train-short,future,no_answer
4864,3395,student,bus,present,1
4865,3395,student,bus,future,0
4866,3396,student,bus,present,1
4867,3396,student,bus,future,1
4868,3398,student,car-driver,present,-2
4869,3398,student,car-driver,future,-2
4870,3399,student,car-driver,present,no_answer
4871,3399,student,car-driver,future,no_answer
4872,3400,student,,present,-1
4873,3400,student,,future,1
4874,3401,student,bus,present,-1
4875,3401,student,bus,future,1
4876,3402,student,train-far,present,2
4877,3402,student,train-far,future,0
4878,3403,student,bus,present,-1
4879,3403,student,bus,future,1
4880,3404,prof,car-driver,present,0
4881,3404,prof,car-driver,future,0
4882,3405,student,train-short,present,-1
4883,3405,student,train-short,future,0
4884,3406,student,train-far,present,2
4885,3406,student,train-far,future,0
4886,3408,wimi,car-driver,present,1
4887,3408,wimi,car-driver,future,-1
4888,3409,wimi,bicycle,present,2
4889,3409,wimi,bicycle,future,no_opinion
4890,3410,student,train-short,present,2
4891,3410,student,train-short,future,no_opinion
4892,3411,student,bus,present,1
4893,3411,student,bus,future,-1
4894,3412,student,car-driver,present,-2
4895,3412,student,car-driver,future,-2
4896,3413,student,bus,present,2
4897,3413,student,bus,future,-2
4898,3414,student,,present,2
4899,3414,student,,future,no_opinion
4900,3415,student,car-driver,present,0
4901,3415,student,car-driver,future,0
4902,3416,student,train-far,present,1
4903,3416,student,train-far,future,1
4904,3417,student,train-far,present,1
4905,3417,student,train-far,future,no_opinion
4906,3418,student,bicycle,present,2
4907,3418,student,bicycle,future,1
4908,3419,student,train-short,present,2
4909,3419,student,train-short,future,-2
4910,3421,student,bus,present,no_opinion
4911,3421,student,bus,future,no_opinion
4912,3422,student,car-driver,present,-1
4913,3422,student,car-driver,future,0
4914,3423,student,bus,present,1
4915,3423,student,bus,future,-1
4916,3425,student,bus,present,2
4917,3425,student,bus,future,0
4918,3426,student,car-driver,present,-1
4919,3426,student,car-driver,future,1
4920,3427,student,car-driver,present,-1
4921,3427,student,car-driver,future,-1
4922,3429,student,car-driver,present,0
4923,3429,student,car-driver,future,1
4924,3430,student,walk,present,2
4925,3430,student,walk,future,-2
4926,3431,student,train-short,present,2
4927,3431,student,train-short,future,no_opinion
4928,3432,student,train-short,present,2
4929,3432,student,train-short,future,2
4930,3436,student,bus,present,1
4931,3436,student,bus,future,-1
4932,3439,student,bus,present,1
4933,3439,student,bus,future,-2
4934,3440,niwi,car-driver,present,-2
4935,3440,niwi,car-driver,future,-2
4936,3441,niwi,car-passenger,present,2
4937,3441,niwi,car-passenger,future,no_answer
4938,3443,student,bus,present,0
4939,3443,student,bus,future,0
4940,3444,niwi,car-driver,present,2
4941,3444,niwi,car-driver,future,-2
4942,3445,niwi,car-driver,present,-1
4943,3445,niwi,car-driver,future,1
4944,3446,student,train-far,present,1
4945,3446,student,train-far,future,0
4946,3447,niwi,car-driver,present,0
4947,3447,niwi,car-driver,future,0
4948,3448,student,bus,present,2
4949,3448,student,bus,future,0
4950,3449,niwi,car-driver,present,-1
4951,3449,niwi,car-driver,future,1
4952,3450,niwi,ebike,present,2
4953,3450,niwi,ebike,future,-2
4954,3451,niwi,car-driver,present,-1
4955,3451,niwi,car-driver,future,-1
4956,3452,niwi,car-driver,present,0
4957,3452,niwi,car-driver,future,0
4958,3453,niwi,car-driver,present,0
4959,3453,niwi,car-driver,future,0
